Subject	APOBEC3B	CCL-24	CCL2	CCL20	CCL22	DDX58/RIG-1	G1P2/ISG15	G1P3	GAPDH	IFI44	IFIT1	IFIT4	IL-10	IL-6	IL1A	IL1B	INFA5	INFB1	IRF5	IRF7	LPL	LY6E	MX1	NK4(IL-32)	OAS3	OASL	OPN(SPP1)	PBEF	PI3	PRKR	TNF ALPHA
434_1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
434_15	5.12	1.923	0.503	0.773	0.956	5.668	0.975	0.869	1.217	0.817	1.51	4.925	3.154	NA	2.37	3.183	17.834	2.235	0.839	1.213	2.408	1.306	1.246	1.197	1.545	1.521	0.68	2.86	1.004	1.338	1.38
434_2	1.69	7.879	3.002	14.281	2.918	1.135	1.183	1.107	1.171	1.618	1.136	0.89	0.253	NA	4.702	4.572	0.499	1.279	1.288	1.157	5.146	1.566	1.85	1.171	1.492	1.021	5.907	0.642	0.634	1.352	1.406
434_14	1.126	2.223	4.086	16.061	0.757	0.769	1.252	0.964	0.947	0.964	0.751	0.609	0.364	NA	9.025	9.191	2.564	0.716	0.57	0.787	1.367	0.98	0.947	1.204	1.447	0.858	1.342	1.577	0.878	0.942	1.131
434_3	2.197	1.636	48.18	6.125	1.167	8.093	63.666	30.716	0.989	31.26	40.605	39.563	0.343	NA	5.476	3.989	6.573	5.347	1.907	9.77	4.679	18.404	33.256	1.515	19.585	4.864	3.585	0.994	1.103	12.904	3.687
434_13	0.698	0.948	1.241	7.544	3.761	6.099	4.569	0.649	0.948	7.537	2.054	2.572	0.51	NA	1.689	1.779	2.398	6.461	1.139	1.456	1.896	13.729	3.208	1.464	15.363	1.27	0.617	0.216	5.778	5.042	7.16
434_4	2.944	0.404	114.704	10.862	2.156	24.867	215.299	102.725	1.137	104.962	195.403	123.784	4.635	NA	5.011	4.588	6.98	10.957	3.307	18.136	1.416	48.367	93.02	1.923	65.536	13.042	2.235	1.313	2.06	30.788	3.713
434_12	3.983	1.162	54.43	38.646	1.044	27.372	295.955	71.198	1.187	64.349	303.689	409.392	1.908	NA	3.998	5.247	6863.425	2248.425	2.132	16.679	8.803	22.748	89.529	1.256	68.002	18.935	4.365	1.818	2.465	40.072	9.504
434_5	2.493	1.209	23.778	27.454	2.327	1.84	9.409	5.499	1.359	10.001	6.245	6.311	1.777	NA	7.791	10.359	4.228	0.704	1.594	2.928	3.061	6.354	7.415	2.073	3.759	5.038	3.907	1.957	3.009	6.228	2.37
434_11	2.262	2.144	5.538	10.859	1.023	7.523	62.043	10.812	0.907	5.888	86.475	69.637	0.207	NA	6.458	4.326	2046.316	873.161	1.412	5.696	3.858	12.017	26.584	1.368	61.676	6.649	3.626	2.353	1.091	10.814	3.124
434_6	1.688	0.306	22.671	60.88	1.261	5.174	35.378	20.455	1.104	24.3	28.099	41.357	2.444	NA	9.067	11.218	3.684	1.406	1.367	7.022	1.886	8.797	24.4	1.014	11.737	3.834	1.177	2.744	1.198	13.367	3.293
434_10	2.115	0.614	4.659	6.029	1.329	3.756	20.882	10.963	1.168	11.476	13.185	21.828	1.991	NA	0.832	2.286	1.04	1.891	1.456	5.288	1.528	6.474	14.89	1.55	5.86	3.402	0.543	1.84	1.465	8.156	1.83
434_7	1.643	0.189	25.545	37.036	1.238	7.741	66.087	51.42	0.892	29.483	53.599	61.197	1.398	NA	7.803	11.033	2.034	1.758	1.49	10.409	0.652	26.226	31.207	1.021	37.988	5.015	1.482	1.766	0.601	12.085	2.734
434_9	1.738	1.597	0.569	0.912	0.888	0.874	1.38	1.042	1.183	1.571	0.988	1.478	0.553	NA	1.042	0.948	3.788	2.474	1.003	1.295	1.704	1.802	1.256	1.24	1.989	1.361	0.884	1.504	0.667	1.609	1.446
434_8	1.909	1.265	51.926	5.12	1.746	10.928	56.505	43.43	1	43.517	53.438	35.455	0.82	NA	2.628	3.59	12.802	9.893	2.268	13.554	1.688	21.036	49.418	1.561	19.063	8.047	2.698	1.112	1.107	12.878	3.56
